group,case,size,parameter,metric,value,unit
build,kdtree,10000,leaf32,min_ms,1.378600,ms
build,kdtree,10000,leaf32,median_ms,1.477000,ms
build,kdtree,10000,leaf32,spread_pct,7.880840,%
build,kdtree,10000,leaf32,memory_mib,0.176468,MiB
build,kdtree,50000,leaf32,min_ms,8.439900,ms
build,kdtree,50000,leaf32,median_ms,8.855400,ms
build,kdtree,50000,leaf32,spread_pct,11.752151,%
build,kdtree,50000,leaf32,memory_mib,0.882187,MiB
build,kdtree,200000,leaf32,min_ms,50.658800,ms
build,kdtree,200000,leaf32,median_ms,52.830700,ms
build,kdtree,200000,leaf32,spread_pct,10.593651,%
build,kdtree,200000,leaf32,memory_mib,3.528671,MiB
build,kdtree,1000000,leaf32,min_ms,432.459300,ms
build,kdtree,1000000,leaf32,median_ms,575.300400,ms
build,kdtree,1000000,leaf32,spread_pct,59.254417,%
build,kdtree,1000000,leaf32,memory_mib,17.643051,MiB
knn,k1,10000,scalar,min_ms,8.701000,ms
knn,k1,10000,batched,min_ms,8.482400,ms
knn,k1,10000,batched,spread_pct,13.707050,%
knn,k1,10000,batched,queries_per_s,2357823.257569,1/s
knn,k8,10000,scalar,min_ms,26.805900,ms
knn,k8,10000,batched,min_ms,25.128500,ms
knn,k8,10000,batched,spread_pct,32.096762,%
knn,k8,10000,batched,queries_per_s,795909.027598,1/s
knn,k32,10000,scalar,min_ms,85.131800,ms
knn,k32,10000,batched,min_ms,90.705100,ms
knn,k32,10000,batched,spread_pct,171.160455,%
knn,k32,10000,batched,queries_per_s,220494.768210,1/s
knn,k1,50000,scalar,min_ms,12.196500,ms
knn,k1,50000,batched,min_ms,11.402600,ms
knn,k1,50000,batched,spread_pct,165.414908,%
knn,k1,50000,batched,queries_per_s,1753985.933033,1/s
knn,k8,50000,scalar,min_ms,111.402800,ms
knn,k8,50000,batched,min_ms,41.472900,ms
knn,k8,50000,batched,spread_pct,54.751391,%
knn,k8,50000,batched,queries_per_s,482242.621085,1/s
knn,k32,50000,scalar,min_ms,132.977500,ms
knn,k32,50000,batched,min_ms,107.218200,ms
knn,k32,50000,batched,spread_pct,61.896223,%
knn,k32,50000,batched,queries_per_s,186535.494907,1/s
knn,k1,200000,scalar,min_ms,17.757500,ms
knn,k1,200000,batched,min_ms,18.504500,ms
knn,k1,200000,batched,spread_pct,103.422419,%
knn,k1,200000,batched,queries_per_s,1080818.179362,1/s
knn,k8,200000,scalar,min_ms,134.357900,ms
knn,k8,200000,batched,min_ms,50.067200,ms
knn,k8,200000,batched,spread_pct,147.892320,%
knn,k8,200000,batched,queries_per_s,399463.121565,1/s
knn,k32,200000,scalar,min_ms,136.705700,ms
knn,k32,200000,batched,min_ms,148.322900,ms
knn,k32,200000,batched,spread_pct,107.890215,%
knn,k32,200000,batched,queries_per_s,134840.944992,1/s
knn,k1,1000000,scalar,min_ms,31.437700,ms
knn,k1,1000000,batched,min_ms,31.946500,ms
knn,k1,1000000,batched,spread_pct,48.847392,%
knn,k1,1000000,batched,queries_per_s,626046.671779,1/s
knn,k8,1000000,scalar,min_ms,65.088700,ms
knn,k8,1000000,batched,min_ms,58.883300,ms
knn,k8,1000000,batched,spread_pct,20.300220,%
knn,k8,1000000,batched,queries_per_s,339654.876680,1/s
knn,k32,1000000,scalar,min_ms,161.217000,ms
knn,k32,1000000,batched,min_ms,139.854100,ms
knn,k32,1000000,batched,spread_pct,25.892264,%
knn,k32,1000000,batched,queries_per_s,143006.175722,1/s
radius,r0.200000,10000,scalar,min_ms,0.521500,ms
radius,r0.200000,10000,batched,min_ms,0.438800,ms
radius,r0.500000,10000,scalar,min_ms,1.008100,ms
radius,r0.500000,10000,batched,min_ms,0.912700,ms
radius,r0.200000,50000,scalar,min_ms,0.847100,ms
radius,r0.200000,50000,batched,min_ms,0.962700,ms
radius,r0.500000,50000,scalar,min_ms,2.366500,ms
radius,r0.500000,50000,batched,min_ms,2.875500,ms
radius,r0.200000,200000,scalar,min_ms,2.555500,ms
radius,r0.200000,200000,batched,min_ms,1.716200,ms
radius,r0.500000,200000,scalar,min_ms,8.395100,ms
radius,r0.500000,200000,batched,min_ms,6.016900,ms
radius,r0.200000,1000000,scalar,min_ms,6.250800,ms
radius,r0.200000,1000000,batched,min_ms,6.049500,ms
radius,r0.500000,1000000,scalar,min_ms,32.810300,ms
radius,r0.500000,1000000,batched,min_ms,43.131500,ms
