group,case,size,parameter,metric,value,unit
build,kdtree,10000,leaf32,min_ms,1.281900,ms
build,kdtree,10000,leaf32,median_ms,1.351200,ms
build,kdtree,10000,leaf32,spread_pct,16.230018,%
build,kdtree,10000,leaf32,memory_mib,0.176468,MiB
build,kdtree,50000,leaf32,min_ms,8.186300,ms
build,kdtree,50000,leaf32,median_ms,8.616000,ms
build,kdtree,50000,leaf32,spread_pct,6.058496,%
build,kdtree,50000,leaf32,memory_mib,0.882187,MiB
build,kdtree,200000,leaf32,min_ms,47.341600,ms
build,kdtree,200000,leaf32,median_ms,48.321600,ms
build,kdtree,200000,leaf32,spread_pct,8.862289,%
build,kdtree,200000,leaf32,memory_mib,3.528671,MiB
build,kdtree,1000000,leaf32,min_ms,352.036000,ms
build,kdtree,1000000,leaf32,median_ms,428.254500,ms
build,kdtree,1000000,leaf32,spread_pct,38.648981,%
build,kdtree,1000000,leaf32,memory_mib,17.643051,MiB
knn,k1,10000,scalar,min_ms,9.232300,ms
knn,k1,10000,batched,min_ms,8.271100,ms
knn,k1,10000,batched,spread_pct,27.794149,%
knn,k1,10000,batched,queries_per_s,2418058.057574,1/s
knn,k8,10000,scalar,min_ms,26.867700,ms
knn,k8,10000,batched,min_ms,27.543500,ms
knn,k8,10000,batched,spread_pct,132.160759,%
knn,k8,10000,batched,queries_per_s,726124.130920,1/s
knn,k32,10000,scalar,min_ms,105.111500,ms
knn,k32,10000,batched,min_ms,84.832700,ms
knn,k32,10000,batched,spread_pct,25.295210,%
knn,k32,10000,batched,queries_per_s,235758.145149,1/s
knn,k1,50000,scalar,min_ms,11.146700,ms
knn,k1,50000,batched,min_ms,10.052900,ms
knn,k1,50000,batched,spread_pct,7.329121,%
knn,k1,50000,batched,queries_per_s,1989475.673686,1/s
knn,k8,50000,scalar,min_ms,31.448100,ms
knn,k8,50000,batched,min_ms,35.582600,ms
knn,k8,50000,batched,spread_pct,56.275796,%
