group,case,size,parameter,metric,value,unit
meta,simd_available,0,compile,flag,1,1
meta,simd_backend,0,compile,name,xsimd,1
build,kdtree,10000,leaf32,min_ms,0.964969,ms
build,kdtree,10000,leaf32,median_ms,0.969530,ms
build,kdtree,10000,leaf32,spread_pct,1.449671,%
build,kdtree,10000,leaf32,memory_mib,0.176468,MiB
build,kdtree,50000,leaf32,min_ms,5.788247,ms
build,kdtree,50000,leaf32,median_ms,5.822296,ms
build,kdtree,50000,leaf32,spread_pct,2.839636,%
build,kdtree,50000,leaf32,memory_mib,0.882187,MiB
build,kdtree,200000,leaf32,min_ms,29.990587,ms
build,kdtree,200000,leaf32,median_ms,30.268845,ms
build,kdtree,200000,leaf32,spread_pct,1.401163,%
build,kdtree,200000,leaf32,memory_mib,3.528671,MiB
build,kdtree,1000000,leaf32,min_ms,216.665544,ms
build,kdtree,1000000,leaf32,median_ms,216.858617,ms
build,kdtree,1000000,leaf32,spread_pct,4.408208,%
build,kdtree,1000000,leaf32,memory_mib,17.643051,MiB
knn,k1,10000,scalar,min_ms,5.776225,ms
knn,k1,10000,batched,min_ms,5.689662,ms
knn,k1,10000,simd,min_ms,5.606542,ms
knn,k1,10000,batched,spread_pct,6.442638,%
knn,k1,10000,simd,spread_pct,5.920749,%
knn,k1,10000,simd,queries_per_s,3567261.245880,1/s
knn,k1,10000,ratio,scalar_over_batched,1.015214,1
knn,k1,10000,ratio,scalar_over_simd,1.030265,1
knn,k8,10000,scalar,min_ms,19.511827,ms
knn,k8,10000,batched,min_ms,20.031132,ms
knn,k8,10000,simd,min_ms,19.978278,ms
knn,k8,10000,batched,spread_pct,31.081328,%
knn,k8,10000,simd,spread_pct,13.471418,%
knn,k8,10000,simd,queries_per_s,1001087.280896,1/s
knn,k8,10000,ratio,scalar_over_batched,0.974075,1
knn,k8,10000,ratio,scalar_over_simd,0.976652,1
knn,k32,10000,scalar,min_ms,66.769151,ms
knn,k32,10000,batched,min_ms,67.509497,ms
knn,k32,10000,simd,min_ms,66.887337,ms
knn,k32,10000,batched,spread_pct,0.648509,%
knn,k32,10000,simd,spread_pct,0.553871,%
knn,k32,10000,simd,queries_per_s,299010.259595,1/s
