group,case,size,parameter,metric,value,unit
meta,simd_available,0,compile,flag,1,1
meta,simd_backend,0,compile,name,xsimd,1
build,kdtree,10000,leaf32,min_ms,0.963335,ms
build,kdtree,10000,leaf32,median_ms,0.965073,ms
build,kdtree,10000,leaf32,spread_pct,0.972051,%
build,kdtree,10000,leaf32,memory_mib,0.176468,MiB
build,kdtree,50000,leaf32,min_ms,5.753153,ms
build,kdtree,50000,leaf32,median_ms,5.807504,ms
build,kdtree,50000,leaf32,spread_pct,2.924888,%
build,kdtree,50000,leaf32,memory_mib,0.882187,MiB
build,kdtree,200000,leaf32,min_ms,29.764936,ms
build,kdtree,200000,leaf32,median_ms,29.814836,ms
build,kdtree,200000,leaf32,spread_pct,0.586171,%
build,kdtree,200000,leaf32,memory_mib,3.528671,MiB
build,kdtree,1000000,leaf32,min_ms,213.305076,ms
build,kdtree,1000000,leaf32,median_ms,217.161759,ms
build,kdtree,1000000,leaf32,spread_pct,5.190731,%
build,kdtree,1000000,leaf32,memory_mib,17.643051,MiB
knn,k1,10000,scalar,min_ms,5.912536,ms
knn,k1,10000,batched,min_ms,5.794051,ms
knn,k1,10000,simd,min_ms,5.843708,ms
knn,k1,10000,batched,spread_pct,4.680183,%
knn,k1,10000,simd,spread_pct,1.989174,%
knn,k1,10000,simd,queries_per_s,3422484.491012,1/s
knn,k1,10000,ratio,scalar_over_batched,1.020449,1
knn,k1,10000,ratio,scalar_over_simd,1.011778,1
knn,k8,10000,scalar,min_ms,20.219848,ms
knn,k8,10000,batched,min_ms,20.641095,ms
knn,k8,10000,simd,min_ms,20.688872,ms
knn,k8,10000,batched,spread_pct,1.066831,%
knn,k8,10000,simd,spread_pct,1.592760,%
knn,k8,10000,simd,queries_per_s,966703.259607,1/s
knn,k8,10000,ratio,scalar_over_batched,0.979592,1
knn,k8,10000,ratio,scalar_over_simd,0.977330,1
knn,k32,10000,scalar,min_ms,68.681026,ms
knn,k32,10000,batched,min_ms,69.083059,ms
knn,k32,10000,simd,min_ms,69.215845,ms
knn,k32,10000,batched,spread_pct,0.949596,%
knn,k32,10000,simd,spread_pct,3.260321,%
knn,k32,10000,simd,queries_per_s,288951.178737,1/s
